candidate_id,rank,cross_encoder_score
CAND_0002025,1,0.981595
CAND_0005538,2,0.980692
CAND_0071974,3,0.972571
CAND_0006567,4,0.947866
CAND_0068351,5,0.946300
CAND_0046525,6,0.946001
CAND_0081846,7,0.939025
CAND_0055905,8,0.931088
CAND_0018499,9,0.918480
CAND_0094759,10,0.912903
CAND_0037980,11,0.909586
CAND_0088025,12,0.907640
CAND_0093547,13,0.899475
CAND_0093193,14,0.899121
CAND_0060072,15,0.897516
CAND_0099806,16,0.887400
CAND_0007411,17,0.883437
CAND_0077337,18,0.878731
CAND_0041611,19,0.869715
CAND_0055992,20,0.863046
CAND_0020350,21,0.826292
CAND_0044883,22,0.820469
CAND_0098846,23,0.819749
CAND_0062247,24,0.804866
CAND_0039754,25,0.782829
CAND_0092278,26,0.782164
CAND_0033861,27,0.778649
CAND_0086022,28,0.754553
CAND_0007460,29,0.744471
CAND_0060886,30,0.740174
CAND_0053591,31,0.736780
CAND_0044222,32,0.735452
CAND_0061257,33,0.728169
CAND_0060054,34,0.725260
CAND_0080766,35,0.716318
CAND_0064904,36,0.711832
CAND_0008239,37,0.710628
CAND_0024620,38,0.692226
CAND_0091534,39,0.690037
CAND_0015578,40,0.687735
CAND_0010541,41,0.670500
CAND_0078785,42,0.668772
CAND_0030468,43,0.662469
CAND_0036484,44,0.662032
CAND_0051936,45,0.658527
CAND_0058575,46,0.655887
CAND_0024630,47,0.650911
CAND_0030031,48,0.633637
CAND_0087804,49,0.628977
CAND_0074325,50,0.628635
CAND_0097896,51,0.604866
CAND_0052712,52,0.600716
CAND_0018888,53,0.597843
CAND_0023076,54,0.595257
CAND_0074648,55,0.594139
CAND_0016657,56,0.590602
CAND_0087630,57,0.585575
CAND_0050454,58,0.582788
CAND_0049978,59,0.577555
CAND_0046064,60,0.574932
CAND_0092568,61,0.572125
CAND_0058688,62,0.570870
CAND_0021827,63,0.559019
CAND_0008425,64,0.551755
CAND_0005269,65,0.544196
CAND_0006418,66,0.539802
CAND_0019288,67,0.537800
CAND_0092596,68,0.520862
CAND_0043312,69,0.513013
CAND_0042506,70,0.500468
CAND_0075175,71,0.489931
CAND_0011643,72,0.488680
CAND_0012632,73,0.464750
CAND_0022274,74,0.464719
CAND_0009236,75,0.463717
CAND_0025046,76,0.463596
CAND_0079550,77,0.463171
CAND_0070398,78,0.461077
CAND_0009200,79,0.457773
CAND_0076412,80,0.457106
CAND_0036437,81,0.456652
CAND_0033839,82,0.455229
CAND_0018961,83,0.454079
CAND_0079387,84,0.451659
CAND_0003100,85,0.447098
CAND_0060835,86,0.446253
CAND_0048265,87,0.440319
CAND_0040310,88,0.437283
CAND_0064326,89,0.437163
CAND_0016170,90,0.435541
CAND_0040946,91,0.434281
CAND_0077261,92,0.431524
CAND_0061156,93,0.429489
CAND_0013122,94,0.427994
CAND_0007631,95,0.426799
CAND_0011687,96,0.426560
CAND_0072784,97,0.423041
CAND_0076831,98,0.421671
CAND_0042441,99,0.421254
CAND_0065517,100,0.414366
CAND_0008628,101,0.410461
CAND_0090419,102,0.407805
CAND_0020726,103,0.405037
CAND_0073007,104,0.398875
CAND_0080315,105,0.397997
CAND_0072803,106,0.395835
CAND_0029439,107,0.395776
CAND_0004402,108,0.393560
CAND_0024947,109,0.391522
CAND_0042425,110,0.387632
CAND_0000705,111,0.379896
CAND_0045862,112,0.378459
CAND_0020845,113,0.373533
CAND_0080597,114,0.370339
CAND_0019845,115,0.369543
CAND_0078856,116,0.365683
CAND_0070653,117,0.365230
CAND_0009516,118,0.364551
CAND_0022023,119,0.364099
CAND_0096104,120,0.364099
CAND_0016267,121,0.360264
CAND_0039308,122,0.357568
CAND_0019880,123,0.357343
CAND_0075138,124,0.354433
CAND_0034169,125,0.354321
CAND_0057701,126,0.349644
CAND_0098952,127,0.349089
CAND_0024878,128,0.348313
CAND_0075574,129,0.347094
CAND_0010000,130,0.346873
CAND_0027218,131,0.346762
CAND_0075491,132,0.340595
CAND_0052706,133,0.337313
CAND_0079176,134,0.336440
CAND_0093401,135,0.331012
CAND_0070525,136,0.330255
CAND_0041568,137,0.329392
CAND_0098780,138,0.329068
CAND_0076251,139,0.328206
CAND_0059520,140,0.326916
CAND_0088602,141,0.325092
CAND_0083307,142,0.322739
CAND_0022852,143,0.322099
CAND_0072032,144,0.321673
CAND_0059017,145,0.316581
CAND_0065139,146,0.315420
CAND_0099581,147,0.314787
CAND_0040887,148,0.314577
CAND_0005260,149,0.314471
CAND_0022415,150,0.312580
CAND_0002793,151,0.311427
CAND_0031593,152,0.299208
CAND_0054546,153,0.298696
CAND_0087744,154,0.295942
CAND_0052498,155,0.292595
CAND_0034849,156,0.291182
CAND_0043125,157,0.289271
CAND_0044829,158,0.285472
CAND_0065396,159,0.284278
CAND_0091254,160,0.278944
CAND_0076995,161,0.276300
CAND_0029220,162,0.275909
CAND_0091229,163,0.275909
CAND_0040677,164,0.268366
CAND_0081489,165,0.267791
CAND_0061175,166,0.266835
CAND_0014715,167,0.265499
CAND_0084681,168,0.263599
CAND_0020494,169,0.254602
CAND_0037566,170,0.249082
CAND_0014063,171,0.248534
CAND_0077498,172,0.247987
CAND_0020708,173,0.243822
CAND_0067322,174,0.243103
CAND_0032019,175,0.239883
CAND_0014683,176,0.239527
CAND_0089546,177,0.238107
CAND_0043829,178,0.237222
CAND_0022232,179,0.236340
CAND_0049896,180,0.233881
CAND_0059440,181,0.233706
