candidate_id,profile_completeness_score,days_on_platform,days_since_active,open_to_work_flag,profile_views_received_30d,applications_submitted_30d,recruiter_response_rate,avg_response_time_hours,num_assessments_taken,assessment_score_mean,assessment_score_max,assessment_score_jd_relevant_mean,connection_count,endorsements_received,notice_period_days,expected_salary_min_lpa,expected_salary_max_lpa,expected_salary_mid_lpa,expected_salary_width_lpa,preferred_work_mode_ord,willing_to_relocate,has_github,github_activity_score,search_appearance_30d,saved_by_recruiters_30d,interview_completion_rate,has_offer_history,offer_acceptance_rate,verified_email,verified_phone,linkedin_connected,availability_tilt_score,num_career_entries,avg_tenure_months,min_tenure_months,max_tenure_months,tenure_stdev_months,avg_company_size_ord,service_firm_months,service_firm_month_fraction,pure_services_career_flag,current_industry_is_tech,current_industry_is_services,title_chasing_jump_count,title_chasing_flag,computed_career_span_years,years_experience_consistency_gap,recent_llm_only_experience_flag,has_pre_llm_ml_background,pure_research_flag,management_pivot_18mo_plus_flag,wrong_domain_flag,num_skills,avg_skill_proficiency,max_skill_proficiency,total_skill_endorsements,high_proficiency_low_duration_count,has_python_skill,python_proficiency,python_duration_months,num_education_entries,highest_education_tier_ord,has_relevant_degree_field,num_certifications,has_relevant_certification,years_of_experience,experience_band_fit,location_tier,current_company_size_ord,current_title_seniority_level,marketing_nontech_title_flag,title_skill_mismatch_flag,retrieval_embeddings_narrative_hits,retrieval_embeddings_skills_hits,retrieval_embeddings_inflation_gap,vector_db_hybrid_search_narrative_hits,vector_db_hybrid_search_skills_hits,vector_db_hybrid_search_inflation_gap,evaluation_ranking_metrics_narrative_hits,evaluation_ranking_metrics_skills_hits,evaluation_ranking_metrics_inflation_gap,llm_finetuning_narrative_hits,llm_finetuning_skills_hits,llm_finetuning_inflation_gap,learning_to_rank_models_narrative_hits,learning_to_rank_models_skills_hits,learning_to_rank_models_inflation_gap,distributed_inference_narrative_hits,distributed_inference_skills_hits,distributed_inference_inflation_gap,open_source_validation_narrative_hits,open_source_validation_skills_hits,open_source_validation_inflation_gap,nlp_ir_domain_narrative_hits,nlp_ir_domain_skills_hits,nlp_ir_domain_inflation_gap,cv_speech_robotics_domain_narrative_hits,cv_speech_robotics_domain_skills_hits,cv_speech_robotics_domain_inflation_gap,production_deployment_narrative_hits,production_deployment_skills_hits,production_deployment_inflation_gap,research_only_narrative_hits,research_only_skills_hits,research_only_inflation_gap,pre_llm_ml_background_narrative_hits,pre_llm_ml_background_skills_hits,pre_llm_ml_background_inflation_gap,llm_only_recent_narrative_hits,llm_only_recent_skills_hits,llm_only_recent_inflation_gap,code_quality_signals_narrative_hits,code_quality_signals_skills_hits,code_quality_signals_inflation_gap,hr_recruiting_marketplace_domain_narrative_hits,hr_recruiting_marketplace_domain_skills_hits,hr_recruiting_marketplace_domain_inflation_gap,marketing_nontech_titles_narrative_hits,marketing_nontech_titles_skills_hits,marketing_nontech_titles_inflation_gap,management_architect_titles_narrative_hits,management_architect_titles_skills_hits,management_architect_titles_inflation_gap,title_chasing_seniority_words_narrative_hits,title_chasing_seniority_words_skills_hits,title_chasing_seniority_words_inflation_gap,closed_source_only_flag
CAND_0042317,56.4,779,81,1,151,4,0.49,132.5,1,47.0,47.0,0.0,549,9,120,28.3,29.5,28.9,1.1999999999999993,0,0,0,-1,431,14,0.88,0,-1,1,0,1,4,3,28.0,25,33,3.559026084010437,6.333333333333333,58,0.6904761904761905,0,1,0,0,0,7.063655030800821,0.0363449691991784,0,0,0,0,1,16,2.0,3,149,0,0,0,0,1,3,1,0,0,7.1,1.0,-1,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1
CAND_0016050,40.8,1216,29,1,24,0,0.43,131.7,1,58.4,58.4,0.0,480,20,60,15.3,22.9,19.1,7.599999999999998,3,1,0,-1,85,11,0.34,0,-1,1,1,1,6,1,18.0,18,18,0.0,7.0,18,1.0,1,0,1,0,0,1.4784394250513346,0.021560574948665368,0,0,0,1,0,14,2.2142857142857144,3,127,2,0,0,0,1,3,0,0,0,1.5,0.30000000000000004,0,7,5,1,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CAND_0018764,83.7,1415,158,1,18,2,0.73,203.2,0,0.0,0.0,0.0,552,31,150,8.4,23.1,15.75,14.700000000000001,3,0,0,-1,24,1,0.83,0,-1,1,1,0,5,7,22.0,8,38,10.433462649434409,4.428571428571429,44,0.2857142857142857,0,1,0,1,0,12.895277207392198,0.2047227926078019,0,0,0,0,0,18,2.2222222222222223,3,145,0,0,0,0,1,2,1,0,0,13.1,0.5900000000000001,0,1,2,1,0,1,3,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1
CAND_0082862,53.0,493,210,0,58,10,0.3,274.2,0,0.0,0.0,0.0,454,12,90,9.6,17.5,13.55,7.9,0,0,1,37.5,76,5,0.32,1,0.66,1,1,0,4,4,34.0,22,44,9.273618495495704,3.75,22,0.16176470588235295,0,1,0,0,0,11.170431211498974,0.32956878850102633,0,0,0,1,0,16,2.25,3,60,0,0,0,0,1,1,1,0,0,11.5,0.75,-1,1,5,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0
CAND_0010465,59.1,194,6,1,72,0,0.67,156.0,0,0.0,0.0,0.0,61,15,90,16.5,11.4,13.95,0.0,1,0,0,-1,162,9,0.5,0,-1,1,0,0,6,4,40.5,31,51,8.261355820929152,3.5,34,0.20987654320987653,0,1,0,0,0,13.305954825462011,0.3940451745379878,0,0,0,0,0,19,2.1052631578947367,3,70,0,0,0,0,1,1,0,0,0,13.7,0.53,-1,1,2,0,0,1,3,2,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1
CAND_0035867,32.7,426,181,0,32,2,0.26,65.0,0,0.0,0.0,0.0,453,1,150,15.9,8.0,11.95,0.0,0,0,0,-1,115,8,0.5,0,-1,0,1,0,4,3,34.0,9,48,17.72004514666935,7.0,93,0.9117647058823529,0,0,1,0,0,8.542094455852157,0.0579055441478431,0,0,0,0,0,18,2.111111111111111,3,85,1,0,0,0,1,2,0,0,0,8.6,1.0,1,7,2,0,0,1,3,2,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
CAND_0091969,71.9,487,215,0,61,6,0.46,275.3,0,0.0,0.0,0.0,95,36,60,12.9,20.5,16.7,7.6,1,0,0,-1,149,10,0.37,1,0.41,1,0,1,5,4,34.5,19,46,10.781929326423912,4.25,0,0.0,0,0,0,0,0,11.373032169746748,0.22696783025325118,0,0,0,0,0,16,2.25,3,59,0,0,0,0,1,2,0,0,0,11.6,0.74,0,4,2,0,0,1,4,3,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
CAND_0033922,30.4,444,139,0,103,3,0.52,43.2,0,0.0,0.0,0.0,758,29,120,12.6,17.3,14.95,4.700000000000001,0,0,1,21.9,122,11,0.6,1,0.77,0,0,0,4,1,34.0,34,34,0.0,7.0,0,0.0,0,0,0,0,0,2.7926078028747434,0.1073921971252565,0,0,0,0,0,12,1.5833333333333333,3,123,0,0,0,0,1,1,1,0,0,2.9,0.58,3,7,2,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
CAND_0090135,65.0,518,77,0,49,3,0.58,208.7,1,71.4,71.4,71.4,451,44,90,8.0,34.6,21.3,26.6,1,0,1,3.7,190,1,0.6,1,0.36,1,1,0,4,4,19.75,8,36,10.207227831296802,4.5,0,0.0,0,0,0,0,0,6.7734428473648185,0.07344284736481832,0,0,0,0,0,9,1.6666666666666667,3,71,0,0,0,0,2,3,1,0,0,6.7,1.0,1,3,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAND_0065786,92.3,781,4,1,203,12,0.89,5.6,1,52.7,52.7,52.7,1036,96,45,37.4,41.2,39.3,3.8000000000000043,0,0,1,70.7,390,32,0.95,1,0.41,1,1,0,7,3,19.333333333333332,7,27,8.806563209081938,5.0,0,0.0,0,0,0,0,0,4.802190280629706,0.0978097193702947,0,1,0,0,0,13,2.3846153846153846,3,298,0,0,0,0,1,4,1,0,0,4.9,0.9800000000000001,0,6,2,0,0,0,1,1,0,2,2,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
