candidate_id,llm_rank,relevance_grade,honeypot_override_applied
CAND_0002025,1,6,0
CAND_0005538,2,6,0
CAND_0071974,3,6,0
CAND_0006567,4,6,0
CAND_0081846,5,6,0
CAND_0055905,6,5,0
CAND_0018499,7,5,0
CAND_0037980,8,5,0
CAND_0088025,9,5,0
CAND_0077337,10,5,0
CAND_0098846,11,4,0
CAND_0039754,12,4,0
CAND_0086022,13,4,0
CAND_0061257,14,4,0
CAND_0030468,15,4,0
CAND_0046064,16,4,0
CAND_0008425,17,4,0
CAND_0079387,18,4,0
CAND_0064326,19,4,0
CAND_0011687,20,4,0
CAND_0083307,21,4,0
CAND_0037566,22,4,0
CAND_0028793,23,4,0
CAND_0000031,24,4,0
CAND_0041669,25,4,0
CAND_0091909,26,3,0
CAND_0007009,27,3,0
CAND_0065878,28,3,0
CAND_0010257,29,3,0
CAND_0009691,30,3,0
CAND_0066999,31,3,0
CAND_0007412,32,3,0
CAND_0050876,33,3,0
CAND_0068811,34,3,0
CAND_0055992,35,3,0
CAND_0062247,36,3,0
CAND_0064904,37,3,0
CAND_0040887,38,3,0
CAND_0005649,39,3,0
CAND_0078002,40,3,0
CAND_0010770,41,3,0
CAND_0041610,42,3,0
CAND_0077285,43,3,0
CAND_0095528,44,3,0
CAND_0018549,45,3,0
CAND_0010685,46,3,0
CAND_0052335,47,3,0
CAND_0068351,48,3,0
CAND_0046525,49,3,0
CAND_0094759,50,3,0
CAND_0007411,51,2,0
CAND_0041611,52,2,0
CAND_0033861,53,2,0
CAND_0080766,54,2,0
CAND_0030031,55,2,0
CAND_0005260,56,2,0
CAND_0052328,57,2,0
CAND_0071115,58,2,0
CAND_0032515,59,2,0
CAND_0009024,60,2,0
CAND_0074735,61,2,0
CAND_0039383,62,2,0
CAND_0093193,63,2,0
CAND_0044883,64,2,0
CAND_0008239,65,2,0
CAND_0030953,66,2,0
CAND_0039838,67,2,0
CAND_0006557,68,2,0
CAND_0054123,69,2,0
CAND_0099401,70,2,0
CAND_0081053,71,2,0
CAND_0092278,72,2,0
CAND_0078492,73,2,0
CAND_0075249,74,2,0
CAND_0007460,75,2,0
CAND_0049896,76,2,0
CAND_0086151,77,2,0
CAND_0081686,78,2,0
CAND_0051615,79,2,0
CAND_0026532,80,2,0
CAND_0093912,81,2,0
CAND_0047721,82,2,0
CAND_0027801,83,2,0
CAND_0044855,84,2,0
CAND_0057563,85,2,0
CAND_0066376,86,2,0
CAND_0015578,87,2,0
CAND_0050454,88,2,0
CAND_0072660,89,2,0
CAND_0074225,90,2,0
CAND_0051004,91,2,0
CAND_0052682,92,2,0
CAND_0060072,93,2,0
CAND_0099806,94,2,0
CAND_0044222,95,2,0
CAND_0060054,96,2,0
CAND_0024620,97,2,0
CAND_0091534,98,2,0
CAND_0058575,99,2,0
CAND_0006418,100,2,0
CAND_0075574,101,2,0
CAND_0041568,102,2,0
CAND_0031593,103,2,0
CAND_0020708,104,2,0
CAND_0065195,105,2,0
CAND_0036863,106,2,0
CAND_0075439,107,2,0
CAND_0079284,108,2,0
CAND_0037944,109,2,0
CAND_0013613,110,2,0
CAND_0061265,111,2,0
CAND_0079064,112,2,0
CAND_0061655,113,2,0
CAND_0089552,114,2,0
CAND_0042100,115,2,0
CAND_0040117,116,2,0
CAND_0054394,117,2,0
CAND_0064270,118,2,0
CAND_0024466,119,2,0
CAND_0011162,120,2,0
CAND_0053695,121,2,0
CAND_0061339,122,2,0
CAND_0027691,123,2,0
CAND_0096142,124,2,0
CAND_0011432,125,2,0
CAND_0022812,126,2,0
CAND_0020877,127,2,0
CAND_0020350,128,2,0
CAND_0053591,129,2,0
CAND_0087630,130,2,0
CAND_0058688,131,2,0
CAND_0042506,132,2,0
CAND_0070398,133,2,0
CAND_0036437,134,2,0
CAND_0076831,135,2,0
CAND_0057701,136,2,0
CAND_0076251,137,2,0
CAND_0018722,138,2,0
CAND_0070485,139,2,0
CAND_0083879,140,2,0
CAND_0014440,141,2,0
CAND_0017960,142,2,0
CAND_0087364,143,2,0
CAND_0084819,144,2,0
CAND_0032807,145,2,0
CAND_0001610,146,2,0
CAND_0003977,147,2,0
CAND_0030348,148,2,0
CAND_0081852,149,2,0
CAND_0069905,150,2,0
CAND_0045250,151,1,0
CAND_0013536,152,1,0
CAND_0076163,153,1,0
CAND_0078042,154,1,0
CAND_0016163,155,1,0
CAND_0096172,156,1,0
CAND_0015528,157,1,0
CAND_0095619,158,1,0
CAND_0009837,159,1,0
CAND_0076904,160,1,0
CAND_0042029,161,1,0
CAND_0030827,162,1,0
CAND_0049538,163,1,0
CAND_0036184,164,1,0
CAND_0029367,165,1,0
CAND_0094056,166,1,0
CAND_0039521,167,1,0
CAND_0012957,168,1,0
CAND_0051630,169,1,0
CAND_0070202,170,1,0
CAND_0092245,171,1,0
CAND_0056881,172,1,0
CAND_0093331,173,1,0
CAND_0043228,174,1,0
CAND_0089546,175,1,0
CAND_0077261,176,1,0
CAND_0045862,177,1,0
CAND_0048166,178,1,0
CAND_0001930,179,1,0
CAND_0054318,180,1,0
CAND_0060315,181,1,0
CAND_0046353,182,1,0
