candidate_id,cross_encoder_score
CAND_0000003,0.006824
CAND_0000006,0.001490
CAND_0000009,0.002208
CAND_0000012,0.000568
CAND_0000015,0.003443
CAND_0000018,0.004830
CAND_0000021,0.069038
CAND_0000024,0.001279
CAND_0000027,0.006590
CAND_0000030,0.002812
CAND_0000033,0.003222
CAND_0000036,0.003722
CAND_0000039,0.001061
CAND_0000042,0.004468
CAND_0000045,0.011245
CAND_0000048,0.004451
CAND_0000051,0.001694
CAND_0000054,0.003566
CAND_0000057,0.013274
CAND_0000060,0.006824
CAND_0000063,0.002397
CAND_0000066,0.004792
CAND_0000069,0.003148
CAND_0000072,0.010860
CAND_0000075,0.010489
CAND_0000078,0.003004
CAND_0000081,0.004118
CAND_0000084,0.008156
CAND_0000087,0.005180
CAND_0000090,0.005730
CAND_0000093,0.011115
CAND_0000096,0.004166
CAND_0000099,0.009596
CAND_0000102,0.001636
CAND_0000105,0.009232
CAND_0000108,0.006824
CAND_0000111,0.002043
CAND_0000114,0.009486
CAND_0000117,0.004774
CAND_0000120,0.005753
CAND_0000123,0.004417
CAND_0000126,0.002704
CAND_0000129,0.002099
CAND_0000132,0.001810
CAND_0000135,0.004054
CAND_0000138,0.001478
CAND_0000141,0.001980
CAND_0000144,0.004232
CAND_0000147,0.005220
CAND_0000150,0.001519
CAND_0000153,0.001299
CAND_0000156,0.001853
CAND_0000159,0.001860
CAND_0000162,0.000873
CAND_0000165,0.106319
CAND_0000168,0.002444
CAND_0000171,0.001490
CAND_0000174,0.001289
CAND_0000177,0.005533
CAND_0000180,0.022414
CAND_0000183,0.001904
CAND_0000186,0.001170
CAND_0000189,0.006719
CAND_0000192,0.000696
CAND_0000195,0.001629
CAND_0000198,0.002261
CAND_0000201,0.020062
CAND_0000204,0.002341
CAND_0000207,0.001617
CAND_0000210,0.012723
CAND_0000213,0.002663
CAND_0000216,0.008000
CAND_0000219,0.006266
CAND_0000222,0.007317
CAND_0000225,0.007039
CAND_0000228,0.004399
CAND_0000231,0.001183
CAND_0000234,0.004538
CAND_0000237,0.010735
CAND_0000240,0.007289
CAND_0000243,0.003350
CAND_0000246,0.001610
CAND_0000249,0.003650
CAND_0000252,0.000863
CAND_0000255,0.005041
CAND_0000258,0.000810
CAND_0000261,0.002867
CAND_0000264,0.001817
CAND_0000267,0.002694
CAND_0000270,0.008511
CAND_0000273,0.013325
CAND_0000276,0.002878
CAND_0000279,0.000922
CAND_0000282,0.001299
CAND_0000285,0.004646
CAND_0000288,0.001629
CAND_0000291,0.003608
CAND_0000294,0.005775
CAND_0000297,0.022329
CAND_0000300,0.003324
CAND_0000303,0.005323
CAND_0000306,0.001543
CAND_0000309,0.005642
CAND_0000312,0.040541
CAND_0000315,0.004039
CAND_0000318,0.001449
CAND_0000321,0.002208
CAND_0000324,0.002226
CAND_0000327,0.002531
CAND_0000330,0.043773
CAND_0000333,0.003222
CAND_0000336,0.001112
CAND_0000339,0.001681
CAND_0000342,0.005120
CAND_0000345,0.005664
CAND_0000348,0.003524
CAND_0000351,0.001250
CAND_0000354,0.001934
CAND_0000357,0.003511
CAND_0000360,0.005385
CAND_0000363,0.000830
CAND_0000366,0.003707
CAND_0000369,0.000337
CAND_0000372,0.002673
CAND_0000375,0.002890
CAND_0000378,0.001207
CAND_0000381,0.006564
CAND_0000384,0.011869
CAND_0000387,0.009304
CAND_0000390,0.002463
CAND_0000393,0.001817
CAND_0000396,0.003900
CAND_0000399,0.008985
CAND_0000402,0.005843
CAND_0000405,0.000918
CAND_0000408,0.001179
CAND_0000411,0.007938
CAND_0000414,0.001860
CAND_0000417,0.004503
CAND_0000420,0.003538
CAND_0000423,0.001688
CAND_0000426,0.005302
CAND_0000429,0.000856
CAND_0000432,0.002059
CAND_0000435,0.023331
CAND_0000438,0.000501
CAND_0000441,0.003016
CAND_0000444,0.007636
CAND_0000447,0.003052
CAND_0000450,0.002243
CAND_0000453,0.003112
CAND_0000456,0.004538
CAND_0000459,0.007490
CAND_0000462,0.001957
CAND_0000465,0.003337
CAND_0000468,0.005060
CAND_0000471,0.004134
CAND_0000474,0.001410
CAND_0000477,0.001668
CAND_0000480,0.004486
CAND_0000483,0.003136
CAND_0000486,0.005364
CAND_0000489,0.005957
CAND_0000492,0.007548
CAND_0000495,0.003552
CAND_0000498,0.012147
CAND_0000501,0.012336
CAND_0000504,0.001789
CAND_0000507,0.002502
CAND_0000510,0.004332
